iter	Passed	Remaining
814	18568	4214
815	18590	4191
816	18613	4169
817	18635	4146
818	18658	4123
819	18680	4100
820	18703	4077
821	18726	4055
822	18749	4032
823	18775	4010
824	18798	3987
825	18820	3964
826	18843	3941
827	18865	3918
828	18888	3896
829	18912	3873
830	18935	3850
831	18957	3828
832	18980	3805
833	19002	3782
834	19025	3759
835	19048	3736
836	19071	3714
837	19093	3691
838	19116	3668
839	19138	3645
840	19161	3622
841	19183	3599
842	19206	3577
843	19229	3554
844	19251	3531
845	19274	3508
846	19296	3485
847	19319	3462
848	19342	3440
849	19365	3417
850	19387	3394
851	19412	3372
852	19437	3349
853	19460	3327
854	19483	3304
855	19506	3281
856	19529	3258
857	19551	3235
858	19574	3212
859	19596	3190
860	19619	3167
861	19642	3144
862	19665	3121
863	19688	3099
864	19711	3076
865	19734	3053
866	19757	3030
867	19781	3008
868	19804	2985
869	19826	2962
870	19850	2939
871	19872	2917
872	19896	2894
873	19919	2871
874	19943	2849
875	19966	2826
876	19989	2803
877	20012	2780
878	20034	2757
879	20057	2735
880	20080	2712
881	20103	2689
882	20126	2666
883	20149	2644
884	20171	2621
885	20193	2598
886	20216	2575
887	20238	2552
888	20261	2529
889	20284	2507
890	20306	2484
891	20329	2461
892	20351	2438
893	20374	2415
894	20397	2393
895	20422	2370
896	20447	2347
897	20469	2325
898	20493	2302
899	20515	2279
900	20539	2256
901	20561	2233
902	20584	2211
903	20607	2188
904	20630	2165
905	20653	2142
906	20676	2120
907	20699	2097
908	20722	2074
909	20746	2051
910	20769	2029
911	20792	2006
912	20815	1983
913	20838	1960
914	20861	1937
915	20884	1915
916	20908	1892
917	20931	1869
918	20954	1846
919	20977	1824
920	21000	1801
921	21023	1778
922	21047	1755
923	21070	1733
924	21093	1710
925	21117	1687
926	21140	1664
927	21162	1641
928	21185	1619
929	21210	1596
930	21234	1573
931	21258	1551
932	21280	1528
933	21303	1505
934	21326	1482
935	21349	1459
936	21373	1437
937	21396	1414
938	21426	1391
939	21450	1369
940	21473	1346
941	21495	1323
942	21518	1300
943	21542	1277
944	21565	1255
945	21590	1232
946	21613	1209
947	21636	1186
948	21658	1163
949	21681	1141
950	21704	1118
951	21728	1095
952	21751	1072
953	21775	1049
954	21798	1027
955	21821	1004
956	21843	981
957	21866	958
958	21888	935
959	21911	912
960	21934	890
961	21958	867
962	21982	844
963	22005	821
964	22027	798
965	22050	776
966	22072	753
967	22096	730
968	22119	707
969	22143	684
970	22165	661
971	22190	639
972	22213	616
973	22236	593
974	22258	570
975	22281	547
976	22304	525
977	22327	502
978	22349	479
979	22372	456
980	22395	433
981	22418	410
982	22442	388
983	22465	365
984	22489	342
985	22511	319
986	22534	296
987	22557	273
988	22580	251
989	22602	228
990	22625	205
991	22648	182
992	22671	159
993	22694	136
994	22717	114
995	22741	91
996	22766	68
997	22789	45
998	22812	22
999	22834	0
